respondent_idx,mds_dim1,mds_dim2,party,ingroup_text
144,-0.38533822125268596,-0.46133579171226013,ANO,"Patřím ke generaci, jak se říká : starších lidí,mám s nimi přibližně stejné názory.My jsme byli
vychování: starších lidí jsme si vážili a ctili.Byli jsme vedeni ke slušnosti,ochotě a zdvořilosti.Mysleli jsme na budoucnost( na zadní kolečka).
Dnes mladí zastávají názor,že nyní žijí.Neuznávají, většina,názory jiných,nepřemýšlí
o budoucnosti a zajímají je většinou peníze a výše vzdělání.
Dospěli jsme do stádia,že máme hodně vysokošloláků a žádné řemeslníky( zedníky,malíře,
pokrývače a pod.).




"
145,-0.5730540129175262,-0.08855068817270208,Pirati,Jsou sympatičtí a empatičtí
146,-0.41738327275978954,-0.615606777467627,ANO,selský rozum vždy vítězil. ten kdo usiluje o degradaci vzdělání by měl být sám odstraněn
147,-0.5539985098486114,0.5649566835893876,Unknown,"Apolitičtí, se strachem, že bude ještě hůř."
148,-0.1482985906300281,0.6474089452525371,ANO,"Tito lidé sledují dění v této zemi a vidí,kam to součastná vláda směřije."
149,0.5477411548565818,0.4247553726852619,ANO,"Mají rozumný názor. Názory, které vláda ODS považuje za špatné, nemusí být špatné."
150,0.34651727868070764,0.6378069647401139,ANO,"Politiku tolik neřeším, žiju tak, abych byla šťastná a přizpůsobím se tomu, co přijde. Nějak bylo, nějak bude, nevidím důvod proč se tím stresovat."
151,0.6425435424967683,0.45416775465793807,STAN,"S vlastním názorem, mimo proud společnosti "
152,0.15074710783867515,-0.09392340865369593,Unknown,"Jsou to lidé, kteří třeba nemají televizi nebo ji nesledují. Nebo když už poslouchají , tak si vyslechnou všechny strany a pak si zhodnotí, co jim je nejbližší. Do politických diskuzí se moc nepouští, spíše je jenom sledují. "
153,-0.16961833745710805,0.1385052706915081,ANO,Jsou to lidé seriózní a přemýšlející o své budoucnosti.
154,0.37650611448530397,-0.251248900935634,ANO,mají snahu pomoci a jsou rozumní 
